code,coding_system,description,entity,list_name,upload_date
300217019,SNOMED,Post cardiac operation heart failure NOS,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
303361000000000,SNOMED,Referred by heart failure nurse specialist,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
303441000000000,SNOMED,Discharge from practice nurse heart failure clinic,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
305601017,SNOMED,Cardiac failure following abortive pregnancy,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
308041000000000,SNOMED,Referral to heart failure exercise programme,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
308231000000000,SNOMED,Heart failure monitoring administration,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
308261000000000,SNOMED,Heart failure review completed,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
308301000000000,SNOMED,Heart failure care plan discussed with patient,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
311561000000000,SNOMED,Referred to heart failure education group,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
316833010,SNOMED,Congenital cardiac failure,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
350484012,SNOMED,Heart failure as a complication of care,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
355821000000000,SNOMED,Relief of left ventricular outflow tract obstruction,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
377513011,SNOMED,Right ventricular dilatation,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
377524013,SNOMED,Right ventricular outflow tract obstruction,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
395772015,SNOMED,Heart failure NOS,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
404741000000000,SNOMED,Heart failure 6 month review,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
406801000000000,SNOMED,Heart failure monitoring telephone invite,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
407001000000000,SNOMED,Left ventricular dysfunction monitoring telephone invite,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
407041000000000,SNOMED,Heart failure monitoring verbal invite,diagnostic,966 - res185: hear failure (Aurum),2021/11/16
