code,coding_system,description,entity,list_name,upload_date
1.61594E+15,CPRD_product_code,Humulin I 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.61604E+15,CPRD_product_code,Humulin S 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.61614E+15,CPRD_product_code,Humulin M1 Cartridges (3 Ml),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.61624E+15,CPRD_product_code,Humulin M2 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.61634E+15,CPRD_product_code,Humulin M3 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.61644E+15,CPRD_product_code,Humulin M4 Cartridges (3 Ml),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.62064E+15,CPRD_product_code,Isophane Insulin (Human Pyr) Injection 100 units/ml; 10 ml vial,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.62114E+15,CPRD_product_code,Isophane Insulin (Human Pyr) Penfill Cartridges (1.5 Ml) 100 units/ml,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.62124E+15,CPRD_product_code,Isophane Insulin (Human Pyr) Penfill cartridges (3 ml) 100 units/ml,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.62134E+15,CPRD_product_code,Isophane Insulin (Human Pyr) Preloaded pen 100 units/ml,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.71404E+15,CPRD_product_code,Human Insulatard Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.73684E+15,CPRD_product_code,Humalog 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.73694E+15,CPRD_product_code,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.73704E+15,CPRD_product_code,Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.73994E+15,CPRD_product_code,Insulin lispro 100units/ml solution for injection 3ml cartridges,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.74944E+15,CPRD_product_code,Pork Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.81814E+15,CPRD_product_code,Human Mixtard 10 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.81824E+15,CPRD_product_code,Human Mixtard 20 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.81834E+15,CPRD_product_code,Human Mixtard 30 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.81844E+15,CPRD_product_code,Human Mixtard 40 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.81854E+15,CPRD_product_code,Human Mixtard 50 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.82144E+15,CPRD_product_code,Insulin isophane porcine 100units/ml suspension for injection 10ml vials,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.82154E+15,CPRD_product_code,Insulin isophane porcine 100units/ml suspension for injection 3ml cartridges,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.82164E+15,CPRD_product_code,Insulin isophane bovine 100units/ml suspension for injection 10ml vials,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.82174E+15,CPRD_product_code,Insulin isophane bovine 100units/ml suspension for injection 3ml cartridges,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.86194E+15,CPRD_product_code,Insulin aspart 100units/ml solution for injection 10ml vials,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.86204E+15,CPRD_product_code,Insulin aspart 100units/ml solution for injection 3ml cartridges,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
