code,coding_system,description,entity,list_name,upload_date
4.94524E+15,CPRD_product_code,Metformin 1g modified-release tablets,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
4.94534E+15,CPRD_product_code,Glucophage SR 1000mg tablets (Merck Serono Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
4.95774E+15,CPRD_product_code,Bolamyn SR 500mg tablets (Teva UK Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
5.00764E+15,CPRD_product_code,Metformin 500mg oral powder sachets sugar free,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
5.00774E+15,CPRD_product_code,Metformin 1g oral powder sachets sugar free,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
5.00784E+15,CPRD_product_code,Glucophage 500mg oral powder sachets (Merck Serono Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
5.00794E+15,CPRD_product_code,Glucophage 1000mg oral powder sachets (Merck Serono Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
5.12824E+15,CPRD_product_code,Glucophage Tablets 1000 mg,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
5.13214E+15,CPRD_product_code,Janumet Tablets 50 mg + 500 mg,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
5.13224E+15,CPRD_product_code,Janumet 50mg/1000mg tablets (Merck Sharp & Dohme Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
5.49194E+15,CPRD_product_code,Amaryl M Tablets 1 mg + 250 mg,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
5.49204E+15,CPRD_product_code,Amaryl M Tablets 2 mg + 500 mg,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
5.57604E+15,CPRD_product_code,Metformin 1g / Sitagliptin 50mg tablets,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
5.99704E+15,CPRD_product_code,Metformin 500mg/5ml oral solution,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
6.02984E+15,CPRD_product_code,Metabet SR 500mg tablets (Morningside Healthcare Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
6.27974E+15,CPRD_product_code,Metabet SR 1000mg tablets (Morningside Healthcare Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
